orb_version,trading_date,rank,ticker,stable_security_id,relative_volume_open,baseline_sessions_used,direction,selected,selection_status,outside_scout_band,scout_scorable,scout_selected,top_10_mover,opening_volume,opening_volume_baseline,average_daily_volume_14,atr_14_usd,first_candle_open,first_candle_high,first_candle_low,first_candle_close,signal_triggered,paper_long_only_status,paper_long_only_trade_executed,paper_long_only_entry_timestamp,paper_long_only_entry_price,paper_long_only_exit_timestamp,paper_long_only_exit_price,paper_long_only_exit_reason,paper_long_only_position_size_shares,paper_long_only_r_multiple,paper_long_only_mfe_pct,paper_long_only_mae_pct,paper_long_only_gross_realized_return_pct,paper_long_only_gross_realized_pnl_usd,paper_long_only_net_realized_return_pct,paper_long_only_net_realized_pnl_usd,paper_long_short_status,paper_long_short_trade_executed,paper_long_short_entry_timestamp,paper_long_short_entry_price,paper_long_short_exit_timestamp,paper_long_short_exit_price,paper_long_short_exit_reason,paper_long_short_position_size_shares,paper_long_short_r_multiple,paper_long_short_mfe_pct,paper_long_short_mae_pct,paper_long_short_gross_realized_return_pct,paper_long_short_gross_realized_pnl_usd,paper_long_short_net_realized_return_pct,paper_long_short_net_realized_pnl_usd,cash_long_only_status,cash_long_only_trade_executed,cash_long_only_entry_timestamp,cash_long_only_entry_price,cash_long_only_exit_timestamp,cash_long_only_exit_price,cash_long_only_exit_reason,cash_long_only_position_size_shares,cash_long_only_r_multiple,cash_long_only_mfe_pct,cash_long_only_mae_pct,cash_long_only_gross_realized_return_pct,cash_long_only_gross_realized_pnl_usd,cash_long_only_net_realized_return_pct,cash_long_only_net_realized_pnl_usd
orb_v1.0,2024-09-30,1,LINE,BBG01NJDR1R8,8.565363598150483,14,SHORT,True,SELECTED,False,False,False,False,113529.0,13254.42857142857,1263035.7142857143,2.087278571428572,77.84,77.935,77.51,77.805,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,TRIGGERED,True,2024-09-30T09:37:00-04:00,77.51,2024-09-30T09:42:00-04:00,77.71872785714287,STOP,119,-1.0000000000000193,0.15481873306670693,-0.38704683266674894,-0.26929151998820955,-24.838615000000487,-0.46977497742227337,-43.33058761500049,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-09-30,2,XPO,BBG001SJW3C0,6.819355012320809,14,SHORT,True,SELECTED,False,False,False,False,126708.0,18580.64285714286,1260441.5714285714,3.9371428571428595,111.09,111.715,106.39,108.685,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,TRIGGERED,True,2024-09-30T14:36:00-04:00,106.39,2024-09-30T14:37:00-04:00,106.78371428571428,STOP,63,-0.9999999999999891,0.09399379640943163,-0.47466867186765244,-0.37006700414915095,-24.803999999999746,-0.5705931008553398,-38.244401999999745,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-09-30,3,WAY,BBG01JRQSF60,6.326490317681306,14,SHORT,True,SELECTED,False,False,False,False,71408.0,11287.142857142857,1320990.7857142857,0.7635714285714287,27.75,27.98,27.64,27.66,False,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-09-30,4,ACHC,BBG001SNNWL7,6.279498124753257,14,SHORT,True,SELECTED,False,False,False,False,218139.0,34738.28571428572,1367048.7142857143,3.15782857142857,63.24,63.24,59.2127,59.54,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-09-30,5,SATS,BBG001T048Z5,5.796156620418868,14,SHORT,True,SELECTED,False,False,False,False,390875.0,67436.92857142857,1821791.357142857,1.7057196428571422,27.87,28.0,25.06,25.375,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-09-30,6,IONQ,BBG00XZP0LC3,4.981385299763522,14,LONG,True,SELECTED,False,True,False,False,1550522.0,311263.21428571426,7661286.142857143,0.5918785714285713,9.76,10.11,9.69,9.93,False,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,
orb_v1.0,2024-09-30,7,FUN,BBG01K8GRMY5,4.858784605498643,14,LONG,True,SELECTED,False,False,False,False,65351.0,13450.07142857143,2033026.0714285714,1.3316071428571408,40.5,41.05,40.34,41.04,True,TRIGGERED,True,2024-09-30T13:30:00-04:00,41.05,2024-09-30T13:37:00-04:00,40.91683928571428,STOP,187,-1.0000000000000084,0.024360535931799987,-0.3288672350791666,-0.32438663650600535,-24.90105357142874,-0.5244666347659671,-40.25989451785731,TRIGGERED,True,2024-09-30T13:30:00-04:00,41.05,2024-09-30T13:37:00-04:00,40.91683928571428,STOP,187,-1.0000000000000084,0.024360535931799987,-0.3288672350791666,-0.32438663650600535,-24.90105357142874,-0.5244666347659671,-40.25989451785731,CASH_EXHAUSTED,False,,,,,,,,,,,,,
orb_v1.0,2024-09-30,8,ULS,BBG007N72MB0,4.369020195683095,14,SHORT,True,SELECTED,False,False,False,False,65163.0,14914.785714285714,1079412.357142857,1.238928571428571,49.57,49.67,49.24,49.335,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-09-30,9,BAX,BBG001S5P1K3,4.362081256139961,14,LONG,True,SELECTED,True,False,False,False,263561.0,60420.92857142857,3194904.3571428573,0.7753500000000001,37.75,38.13,37.6984,37.8,False,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,
orb_v1.0,2024-09-30,10,PPG,BBG001S5VC13,4.28769244641688,14,SHORT,True,SELECTED,True,False,False,False,78119.0,18219.35714285714,1506768.857142857,2.6364285714285733,134.7,134.74,134.11,134.52,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
