orb_version,trading_date,rank,ticker,stable_security_id,relative_volume_open,baseline_sessions_used,direction,selected,selection_status,outside_scout_band,scout_scorable,scout_selected,top_10_mover,opening_volume,opening_volume_baseline,average_daily_volume_14,atr_14_usd,first_candle_open,first_candle_high,first_candle_low,first_candle_close,signal_triggered,paper_long_only_status,paper_long_only_trade_executed,paper_long_only_entry_timestamp,paper_long_only_entry_price,paper_long_only_exit_timestamp,paper_long_only_exit_price,paper_long_only_exit_reason,paper_long_only_position_size_shares,paper_long_only_r_multiple,paper_long_only_mfe_pct,paper_long_only_mae_pct,paper_long_only_gross_realized_return_pct,paper_long_only_gross_realized_pnl_usd,paper_long_only_net_realized_return_pct,paper_long_only_net_realized_pnl_usd,paper_long_short_status,paper_long_short_trade_executed,paper_long_short_entry_timestamp,paper_long_short_entry_price,paper_long_short_exit_timestamp,paper_long_short_exit_price,paper_long_short_exit_reason,paper_long_short_position_size_shares,paper_long_short_r_multiple,paper_long_short_mfe_pct,paper_long_short_mae_pct,paper_long_short_gross_realized_return_pct,paper_long_short_gross_realized_pnl_usd,paper_long_short_net_realized_return_pct,paper_long_short_net_realized_pnl_usd,cash_long_only_status,cash_long_only_trade_executed,cash_long_only_entry_timestamp,cash_long_only_entry_price,cash_long_only_exit_timestamp,cash_long_only_exit_price,cash_long_only_exit_reason,cash_long_only_position_size_shares,cash_long_only_r_multiple,cash_long_only_mfe_pct,cash_long_only_mae_pct,cash_long_only_gross_realized_return_pct,cash_long_only_gross_realized_pnl_usd,cash_long_only_net_realized_return_pct,cash_long_only_net_realized_pnl_usd
orb_v1.0,2024-04-01,1,WSC,BBG00B0FS9V7,14.76466123727655,14,SHORT,True,SELECTED,False,False,False,False,195926.0,13269.92857142857,1585716.7857142857,1.1441999999999999,45.25,45.545,44.3,44.3955,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,TRIGGERED,True,2024-04-01T09:35:00-04:00,44.3,2024-04-01T09:39:00-04:00,44.41442,STOP,218,-1.000000000000023,1.2866817155756214,-1.0383747178329592,-0.2582844243792385,-24.943560000000573,-0.45891742663657475,-44.31949156000057,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-01,2,GLBE,0001835963,9.073544325931106,14,SHORT,True,SELECTED,False,False,False,False,129729.0,14297.5,1072541.142857143,1.3690999999999995,36.37,36.37,35.86,35.86,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,TRIGGERED,True,2024-04-01T11:18:00-04:00,35.83,2024-04-01T11:58:00-04:00,35.96691,STOP,182,-1.0000000000000027,0.22327658386826205,-0.44655316773654397,-0.38210996371755596,-24.917620000000056,-0.5829553725928002,-38.014869620000056,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-01,3,SMTC,BBG001S7TWW4,8.138221970701252,14,SHORT,True,SELECTED,False,True,False,False,449903.0,55282.71428571428,2075452.4285714286,1.397985714285715,28.52,29.63,27.75,28.41,False,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-01,4,APLT,BBG001SMJMY2,6.349434333157431,14,LONG,True,SELECTED,False,False,False,False,525115.0,82702.64285714286,1060966.2857142857,0.5686357142857142,6.0,6.13,5.945,6.095,True,TRIGGERED,True,2024-04-01T09:35:00-04:00,6.13,2024-04-01T10:06:00-04:00,6.073136428571429,STOP,439,-0.9999999999999927,4.7308319738988525,-1.631321370309946,-0.9276275926357426,-24.963107857142674,-1.5275527033325496,-41.107512533571246,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,CASH_EXHAUSTED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-01,5,NVEI,BBG00X2VHWW2,5.632983594258542,14,LONG,True,SELECTED,False,False,False,False,255284.0,45319.5,1333042.142857143,1.627057142857142,33.3,33.78,33.25,33.48,False,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,
orb_v1.0,2024-04-01,6,LW,BBG003CVMLR1,4.789242891185479,14,LONG,True,SELECTED,True,False,False,False,108671.0,22690.64285714286,1531972.142857143,2.095714285714284,103.57,104.71,102.76,103.995,True,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,CASH_EXHAUSTED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-01,7,ARQT,BBG00QN8K4P1,4.752971266577834,14,SHORT,True,SELECTED,False,False,False,False,493519.0,103833.78571428571,4190309.0,0.8975999999999998,9.96,10.0,9.45,9.66,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,TRIGGERED,True,2024-04-01T10:26:00-04:00,9.45,2024-04-01T12:08:00-04:00,9.53976,STOP,278,-1.0000000000000007,3.06878306878306,-0.9523809523809509,-0.9498412698412706,-24.953280000000017,-1.5544474074074082,-40.83688784000002,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-01,8,QSR,BBG0076WG2T4,4.734575157749156,14,SHORT,True,SELECTED,True,False,False,False,78249.0,16527.14285714286,1440617.142857143,1.3460714285714264,79.26,79.28,78.73,78.915,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-01,9,WDC,BBG001S5XD28,4.353345774104903,14,LONG,True,SELECTED,True,False,False,False,1026782.0,235860.42857142858,6216019.357142857,2.167142857142855,68.92,71.67,68.89,71.64,True,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,CASH_EXHAUSTED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-01,10,AEM,BBG001S77MK3,4.211275649040733,14,LONG,True,SELECTED,True,False,False,False,439292.0,104313.28571428571,2983097.0,1.3817857142857133,60.75,61.58,60.61,61.24,False,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,,NOT_TRIGGERED,False,,,,,NOT_TRIGGERED,,,,,0.0,,,
