trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct
2024-04-17,ERII,BBG001T28M86,true,14,14,13.700000,13.800000,193181.786667,5152749.163000,774295682.100000,79.443024,4,,,,,,,,,,,,,0.729927,0,-0.147730,0,30.769231,0,0,0,0.906669,0,,,,,,,4.757716,2,3.649635,1,5152749.163000,1,193181.786667,0,8,10.526316,4,8.333333,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,13.820000,13.980000,13.460000,13.530000,1.157742,-2.604920,-2.098408,2024-04-17T09:33:00-04:00,1.157742,-0.108538,false,,0.000000,,,,,,
2024-04-17,EXK,BBG001S5ZH63,true,16,36,2.550000,2.620000,198942.652300,20317897.213500,509237106.300000,1.008670,1,,,0.030811,2,,,,,0.432263,1,,,2.745098,2,-0.843264,0,22.857143,0,1,1,0.566762,0,,,57.142857,2,,,8.403361,3,4.313725,1,20317897.213500,2,198942.652300,0,15,19.736842,7,14.583333,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,2.610000,2.699400,2.540000,2.560000,3.425287,-2.681992,-1.915709,2024-04-17T10:14:00-04:00,3.061303,2.298851,false,,0.000000,,,,,,
2024-04-17,FCEL,BBG001SDZHP5,true,13,31,1.000000,1.020000,47967.097733,11523729.166000,450626333.000000,0.585843,0,0.080136,4,0.006344,0,,,-22.178792,0,-4.339654,0,,,2.000000,2,0.262476,1,33.333333,0,0,0,0.630393,0,71.563981,4,50.000000,1,,,6.953571,2,4.000000,1,11523729.166000,2,47967.097733,0,17,22.368421,7,14.583333,alpha_v1.1_19m,14.583333,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,1.010000,1.030000,1.000000,1.005000,1.980198,-0.990099,-0.495050,2024-04-17T09:33:00-04:00,1.980198,0.000000,false,,0.000000,,,,,,
2024-04-17,FUBO,BBG002CV4QZ3,true,14,22,1.370000,1.390800,51480.368300,9675367.068500,401143563.770000,0.504196,0,,,,,,,,,,,,,1.518248,1,-0.856229,0,28.571429,0,0,0,0.962041,0,,,,,,,6.098540,2,5.109489,1,9675367.068500,1,51480.368300,0,5,6.578947,1,2.083333,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,1.430000,1.480000,1.380000,1.380000,3.496503,-3.496503,-3.496503,2024-04-17T09:51:00-04:00,3.496503,0.000000,false,,0.000000,,,,,,
2024-04-17,GCT,0001857816,true,27,59,35.090000,35.500000,2251643.979933,100681145.324750,1437372440.680000,1.422507,2,-0.112082,0,-0.043666,0,-0.029925,0,5.987182,4,1.127367,3,1.166514,3,1.168424,1,-1.364713,0,44.827586,0,0,0,0.428348,0,15.659341,0,23.131026,0,41.024628,0,9.522025,3,4.331718,1,100681145.324750,4,2251643.979933,3,24,31.578947,13,27.083333,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,35.850000,36.750000,33.508000,34.960000,2.510460,-6.532775,-2.482566,2024-04-17T09:37:00-04:00,2.510460,-1.004184,false,,0.000000,,,,,,
2024-04-17,GERN,BBG001S6TSX4,true,13,18,3.580000,3.650000,150969.158633,38557412.928500,1944168941.000000,0.666163,0,,,,,,,,,,,,,1.955307,1,0.226266,0,41.176471,0,0,0,0.303066,0,,,,,,,6.179170,2,1.955307,0,38557412.928500,3,150969.158633,0,6,7.894737,1,2.083333,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,3.630000,3.800000,3.630000,3.690000,4.683196,0.000000,1.652893,2024-04-17T10:01:00-04:00,4.132231,2.754821,false,,0.000000,,,,,,
2024-04-17,GL,BBG001S5WRX4,true,18,33,59.970000,60.300000,11539112.166800,319746052.353000,5644300837.800000,1.912292,3,0.003834,0,-0.004992,0,,,-11.615919,0,-3.692790,0,,,0.550275,0,0.770411,2,40.625000,0,0,0,0.309005,0,50.000000,1,43.355714,0,,,13.615725,4,2.908454,0,319746052.353000,4,11539112.166800,4,18,23.684211,5,10.416667,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,60.160000,64.360000,60.160000,63.200000,6.981383,0.000000,5.053191,2024-04-17T11:41:00-04:00,4.853723,4.388298,false,,0.000000,,,,,,
2024-04-17,GOEV,BBG00NBK0H68,false,54,155,2.930000,3.031100,1493426.269967,40943664.702000,2107199201.950000,0.758915,0,-0.025811,0,0.033891,2,0.004171,0,-1.470903,0,-4.679075,0,-0.257456,0,3.450512,2,0.098419,0,39.610390,0,0,0,0.586940,0,42.877493,0,56.760204,2,50.000000,1,15.866894,4,9.897611,2,40943664.702000,3,1493426.269967,3,19,25.000000,4,8.333333,alpha_v1.1_19m,,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,true,7,3.070000,3.490000,2.840000,2.849900,13.680782,-7.491857,-7.169381,2024-04-17T09:42:00-04:00,13.680782,2.570033,false,,0.000000,,,,,,
2024-04-17,GRRR,0001903145,false,31,52,5.730000,6.190000,261653.669533,2814150.849905,394929317.160000,0.098542,0,0.056481,3,-0.018492,0,-0.003790,0,-4.501575,0,0.058091,0,-0.987700,0,8.027923,4,1.446917,3,45.098039,0,0,0,0.918645,0,50.050050,1,47.929178,0,52.507523,1,8.976564,3,8.551483,2,2814150.849905,0,261653.669533,1,18,23.684211,10,20.833333,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM,REJECT,false,,5.930000,6.240000,5.220000,5.300000,5.227656,-11.973019,-10.623946,2024-04-17T09:31:00-04:00,5.227656,-1.991568,false,,0.000000,,,,,,
2024-04-17,HE,BBG001S5RV43,true,20,37,9.520000,9.630000,510270.834867,24320003.141500,1048381412.960000,16.328529,4,0.033532,2,0.001518,0,-0.013031,0,14.025198,4,0.012366,0,-1.733106,0,1.155462,1,0.064872,0,41.666667,0,2,2,1.085323,1,85.714286,4,40.909091,0,51.162791,1,4.438550,2,4.096639,1,24320003.141500,2,510270.834867,2,26,34.210526,14,29.166667,alpha_v1.1_19m,29.166667,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,9.580000,9.920000,9.260000,9.775000,3.549061,-3.340292,2.035491,2024-04-17T13:38:00-04:00,1.461378,-2.348643,false,,0.000000,,,,,,
