orb_version,trading_date,rank,ticker,stable_security_id,relative_volume_open,baseline_sessions_used,direction,selected,selection_status,outside_scout_band,scout_scorable,scout_selected,top_10_mover,opening_volume,opening_volume_baseline,average_daily_volume_14,atr_14_usd,first_candle_open,first_candle_high,first_candle_low,first_candle_close,signal_triggered,paper_long_only_status,paper_long_only_trade_executed,paper_long_only_entry_timestamp,paper_long_only_entry_price,paper_long_only_exit_timestamp,paper_long_only_exit_price,paper_long_only_exit_reason,paper_long_only_position_size_shares,paper_long_only_r_multiple,paper_long_only_mfe_pct,paper_long_only_mae_pct,paper_long_only_gross_realized_return_pct,paper_long_only_gross_realized_pnl_usd,paper_long_only_net_realized_return_pct,paper_long_only_net_realized_pnl_usd,paper_long_short_status,paper_long_short_trade_executed,paper_long_short_entry_timestamp,paper_long_short_entry_price,paper_long_short_exit_timestamp,paper_long_short_exit_price,paper_long_short_exit_reason,paper_long_short_position_size_shares,paper_long_short_r_multiple,paper_long_short_mfe_pct,paper_long_short_mae_pct,paper_long_short_gross_realized_return_pct,paper_long_short_gross_realized_pnl_usd,paper_long_short_net_realized_return_pct,paper_long_short_net_realized_pnl_usd,cash_long_only_status,cash_long_only_trade_executed,cash_long_only_entry_timestamp,cash_long_only_entry_price,cash_long_only_exit_timestamp,cash_long_only_exit_price,cash_long_only_exit_reason,cash_long_only_position_size_shares,cash_long_only_r_multiple,cash_long_only_mfe_pct,cash_long_only_mae_pct,cash_long_only_gross_realized_return_pct,cash_long_only_gross_realized_pnl_usd,cash_long_only_net_realized_return_pct,cash_long_only_net_realized_pnl_usd
orb_v1.0,2024-04-05,1,CADL,BBG00N0D4Z80,44.998724431998404,14,LONG,True,SELECTED,True,False,False,False,2837311.0,63053.142857142855,10327981.07142857,0.5484785714285715,7.0,7.54,6.45,7.0771,True,TRIGGERED,True,2024-04-05T10:30:00-04:00,7.54,2024-04-05T10:30:00-04:00,7.1201,STOP,455,-7.655722973940904,1.458885941644561,-5.568965517241386,-5.568965517241382,-191.05450000000008,-6.154460212201594,-211.14106650000008,TRIGGERED,True,2024-04-05T10:30:00-04:00,7.54,2024-04-05T10:30:00-04:00,7.1201,STOP,455,-7.655722973940904,1.458885941644561,-5.568965517241386,-5.568965517241382,-191.05450000000008,-6.154460212201594,-211.14106650000008,CASH_EXHAUSTED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-05,2,BYON,BBG001S64TS5,8.403227393916595,14,LONG,True,SELECTED,False,False,False,False,274432.0,32657.928571428572,1422592.0,1.6491071428571435,29.4,30.2299,28.61,30.1,True,TRIGGERED,True,2024-04-05T09:35:00-04:00,30.2299,2024-04-05T09:36:00-04:00,30.064989285714287,STOP,151,-0.999999999999998,0.4303686085630476,-1.2080754484798173,-0.545521865059805,-24.901517857142817,-0.7455254683985998,-34.031112139285675,TRIGGERED,True,2024-04-05T09:35:00-04:00,30.2299,2024-04-05T09:36:00-04:00,30.064989285714287,STOP,151,-0.999999999999998,0.4303686085630476,-1.2080754484798173,-0.545521865059805,-24.901517857142817,-0.7455254683985998,-34.031112139285675,CASH_EXHAUSTED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-05,3,AS,0001988894,7.2261660560860355,14,SHORT,True,SELECTED,False,False,False,False,157517.0,21798.14285714286,1440754.4285714286,0.7093428571428567,15.7,15.7,15.56,15.65,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-05,4,MUX,BBG001S5X3Z4,6.622317438285574,14,LONG,True,SELECTED,False,True,False,False,282176.0,42609.857142857145,1030370.4285714285,0.5609999999999997,10.06,10.2,9.6,10.2,True,TRIGGERED,True,2024-04-05T09:35:00-04:00,10.24,2024-04-05T15:59:00-04:00,10.85,SESSION_END,445,10.873440285204985,6.73828125,-0.3906250000000111,5.957031249999995,271.44999999999976,5.6482617187499935,257.37998999999974,TRIGGERED,True,2024-04-05T09:35:00-04:00,10.24,2024-04-05T15:59:00-04:00,10.85,SESSION_END,445,10.873440285204985,6.73828125,-0.3906250000000111,5.957031249999995,271.44999999999976,5.6482617187499935,257.37998999999974,CASH_EXHAUSTED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-05,5,SNX,BBG001SFQWB2,6.511458388156658,14,LONG,True,SELECTED,False,False,False,False,247441.0,38000.857142857145,1737388.0,2.998557142857144,116.18,116.88,116.12,116.795,True,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,CASH_EXHAUSTED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-05,6,TSVT,BBG00YV1J631,6.419257128178782,14,SHORT,True,SELECTED,True,False,False,False,446253.0,69517.85714285714,1662265.9285714286,0.5783285714285715,5.41,5.79,5.25,5.26,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-05,7,RRC,BBG001SBZNN8,4.435008352521559,14,SHORT,True,SELECTED,False,False,False,False,168396.0,37969.71428571428,2401626.0,0.6720785714285705,34.75,34.8,34.52,34.545,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-05,8,DLTR,BBG001S6ZGL6,4.3823442118884515,14,LONG,True,SELECTED,True,False,False,False,290037.0,66183.07142857143,3873481.4285714286,2.967471428571428,129.76,130.485,129.43,130.13,True,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,CASH_EXHAUSTED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-05,9,WMG,BBG00RP2T9V3,4.271501423232041,14,SHORT,True,SELECTED,True,False,False,False,132163.0,30940.64285714286,1472513.7142857143,0.8591142857142852,33.34,33.485,33.0,33.27,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
orb_v1.0,2024-04-05,10,LW,BBG003CVMLR1,4.107264116772903,14,SHORT,True,SELECTED,False,False,False,False,346666.0,84403.14285714286,3389673.785714286,3.6949999999999994,82.01,82.607,80.37,80.51,True,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,,LEVERAGE_CAP_EXCEEDED,False,,,,,,,,,,,,,,SHORT_NOT_ALLOWED,False,,,,,,,,,,,,,
