orb_version,trading_date,variant,cohort,net_realized_return_pct,gross_realized_return_pct,equity_index
orb_v1.0,2024-07-02,cash,long_only,0.0,0.0,1.0
orb_v1.0,2024-07-02,cash,long_plus_short,0.0,0.0,1.0
orb_v1.0,2024-07-02,paper,long_only,4.408513411999976,8.322379999999976,1.0440851341199997
orb_v1.0,2024-07-02,paper,long_plus_short,2.6181393126456998,7.326093057142841,1.026181393126457
orb_v1.0,2024-07-05,cash,long_only,-1.4156570760000038,-0.9974280000000035,0.98584342924
orb_v1.0,2024-07-05,cash,long_plus_short,-1.4156570760000038,-0.9974280000000035,0.98584342924
orb_v1.0,2024-07-05,paper,long_only,-10.078419869857116,-6.226792085714259,0.9388578505046253
orb_v1.0,2024-07-05,paper,long_plus_short,-11.753632729857111,-7.224577799999968,0.905567801036242
orb_v1.0,2024-07-08,cash,long_only,-4.690128958400018,-4.0340880000000165,0.939606101080731
orb_v1.0,2024-07-08,cash,long_plus_short,-4.690128958400018,-4.0340880000000165,0.939606101080731
orb_v1.0,2024-07-08,paper,long_only,-7.856755138639983,-6.194692628571411,0.8650940880905783
orb_v1.0,2024-07-08,paper,long_plus_short,-9.780378113497083,-5.861528057142796,0.8169998460208167
orb_v1.0,2024-07-09,cash,long_only,0.0,0.0,0.939606101080731
orb_v1.0,2024-07-09,cash,long_plus_short,0.0,0.0,0.939606101080731
orb_v1.0,2024-07-09,paper,long_only,-13.116840685999978,-9.292433999999979,0.7516210747717329
orb_v1.0,2024-07-09,paper,long_plus_short,-13.084278625885695,-7.9532345714285535,0.7101013097943959
orb_v1.0,2024-07-10,cash,long_only,-3.834401760000008,-3.4020000000000077,0.9035778282038239
orb_v1.0,2024-07-10,cash,long_plus_short,-3.834401760000008,-3.4020000000000077,0.9035778282038239
orb_v1.0,2024-07-10,paper,long_only,-15.914289640228565,-13.216245485714282,0.6320059199355604
orb_v1.0,2024-07-10,paper,long_plus_short,-11.555406796091425,-9.221437599999998,0.62804621478328
orb_v1.0,2024-07-11,cash,long_only,1.0155571199999935,1.1471999999999936,0.9127541771728891
orb_v1.0,2024-07-11,cash,long_plus_short,1.0155571199999935,1.1471999999999936,0.9127541771728891
orb_v1.0,2024-07-11,paper,long_only,-9.198555993394269,-4.828670857142839,0.5738705015087213
orb_v1.0,2024-07-11,paper,long_plus_short,-13.76523546975999,-7.966636914285702,0.541594174459447
orb_v1.0,2024-07-12,cash,long_only,0.0,0.0,0.9127541771728891
orb_v1.0,2024-07-12,cash,long_plus_short,0.0,0.0,0.9127541771728891
orb_v1.0,2024-07-12,paper,long_only,-3.7080026858857003,-0.9790271428571284,0.5525913678992722
orb_v1.0,2024-07-12,paper,long_plus_short,-4.9921354316856945,-1.9227843714285522,0.5145570597803113
orb_v1.0,2024-07-15,cash,long_only,-0.37133727999999855,-0.32159999999999855,0.909364780638289
orb_v1.0,2024-07-15,cash,long_plus_short,-0.37133727999999855,-0.32159999999999855,0.909364780638289
orb_v1.0,2024-07-15,paper,long_only,-3.248051765399974,-0.9662827142856878,0.5346429142187721
orb_v1.0,2024-07-15,paper,long_plus_short,-6.3925375275599645,-3.3973399142856797,0.4816638066331458
