trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct
2024-05-01,BTG,BBG001T0CNW6,true,15,22,2.550000,2.570000,211850.053833,44378275.806000,3316335817.500000,0.709346,0,,,,,,,,,,,,,0.784314,0,0.510812,2,52.380952,1,0,0,0.579094,0,,,,,,,4.243697,2,2.352941,0,44378275.806000,3,211850.053833,0,8,10.526316,3,6.250000,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,2.580000,2.610000,2.520000,2.550000,1.162791,-2.325581,-1.162791,2024-05-01T15:01:00-04:00,0.000000,-0.968992,false,,0.000000,,,,,,
2024-05-01,CAVA,BBG00GBR8762,true,11,18,71.940000,71.230000,920747.478367,149968089.587500,8173211238.059999,0.701510,0,,,,,,,,,,,,,-0.986934,0,-0.157817,0,41.176471,0,0,0,0.316173,0,,,,,,,4.783580,2,1.711009,0,149968089.587500,4,920747.478367,2,8,10.526316,0,0.000000,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,71.120000,71.985000,66.600000,67.370000,1.216254,-6.355456,-5.272778,2024-05-01T09:32:00-04:00,1.216254,-0.118813,false,,0.000000,,,,,,
2024-05-01,CGC,BBG001T6MH82,false,60,232,14.880000,14.149200,23903485.794600,189058815.763500,1233676486.080000,7.101658,4,-0.159102,0,-0.147020,0,-0.117483,0,0.542807,2,1.761342,3,2.588579,4,-4.911290,0,-3.238262,0,43.290043,0,0,0,0.886406,0,46.432111,0,42.906053,0,40.090280,0,9.948589,3,14.112903,3,189058815.763500,4,23903485.794600,4,27,35.526316,13,27.083333,alpha_v1.1_19m,,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,13.970000,14.100000,10.210000,11.435200,0.930565,-26.914817,-18.144596,2024-05-01T09:30:00-04:00,0.930565,-17.322119,false,,0.000000,,,,,,
2024-05-01,CHPT,BBG00Q741ZS7,true,19,33,1.330000,1.331300,168153.882367,17048563.486000,555977095.030000,0.972140,0,-0.058940,0,0.058370,3,,,-0.144993,0,-1.706787,0,,,0.097744,0,0.072021,0,28.125000,0,0,0,0.697409,0,36.775106,0,45.705824,0,,,6.954887,2,4.511278,1,17048563.486000,2,168153.882367,0,8,10.526316,3,6.250000,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,1.360000,1.530000,1.340000,1.430000,12.500000,-1.470588,5.147059,2024-05-01T15:08:00-04:00,0.000000,-0.735294,false,,0.000000,,,,,,
2024-05-01,CHWY,BBG00P19DLQ4,true,16,38,14.990000,15.000000,358316.571667,142019669.009500,6466775100.560000,0.522294,0,-0.002114,0,,,,,5.407313,4,,,,,0.066711,0,0.143289,0,45.945946,0,0,0,0.222778,0,42.857143,0,,,,,5.711427,2,1.067378,0,142019669.009500,4,358316.571667,1,11,14.473684,4,8.333333,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,14.900000,15.500000,14.850000,15.050000,4.026846,-0.335570,1.006711,2024-05-01T15:02:00-04:00,1.543624,0.234899,false,,0.000000,,,,,,
2024-05-01,CIFR,BBG00XYHY0L1,true,15,56,3.720000,3.724000,288570.890233,24644880.474750,956253885.120000,1.142228,1,,,,,,,,,,,,,0.107527,0,3.006217,4,38.181818,0,0,0,0.691333,0,,,,,,,11.116551,4,6.559140,2,24644880.474750,2,288570.890233,1,14,18.421053,5,10.416667,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,3.600000,3.900000,3.370000,3.685000,8.333333,-6.388889,2.361111,2024-05-01T15:02:00-04:00,1.666667,-2.569444,false,,0.000000,,,,,,
2024-05-01,CLF,BBG001S5PW43,true,12,26,16.900000,16.859700,409629.605100,187019079.056000,8532155564.400000,0.969106,0,,,,,,,,,,,,,-0.238462,0,-0.236149,0,28.000000,0,0,0,0.269063,0,,,,,,,4.600592,2,0.887574,0,187019079.056000,4,409629.605100,1,7,9.210526,0,0.000000,alpha_v1.1_19m,,false,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,16.980000,17.080000,16.504000,16.700000,0.588928,-2.803298,-1.648999,2024-05-01T09:32:00-04:00,0.588928,-0.382803,false,,0.000000,,,,,,
2024-05-01,CLSK,BBG001S7F576,false,55,207,16.380000,15.980000,12467490.758133,506976830.091500,3026199119.580000,1.334385,2,0.006292,0,-0.021968,0,-0.018747,0,-8.280135,0,-1.610034,0,1.205326,3,-2.442002,0,0.832945,2,42.233010,0,0,0,0.850376,0,44.729445,0,37.118510,0,44.929649,0,10.299407,4,7.692308,2,506976830.091500,4,12467490.758133,4,21,27.631579,7,14.583333,alpha_v1.1_19m,,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,16.030000,16.880000,15.350100,15.620000,5.302558,-4.241422,-2.557704,2024-05-01T15:00:00-04:00,2.058640,-0.374298,false,,0.000000,,,,,,
2024-05-01,CRON,BBG006G267X6,false,33,64,2.940000,2.890000,450117.277567,10797006.623500,1120473878.160000,4.463539,4,-0.148716,0,-0.004619,0,-0.062205,0,7.774352,4,-1.808719,0,-0.873417,0,-1.700680,0,-1.990963,0,30.158730,0,0,0,1.396910,2,46.478873,0,45.689655,0,39.791752,0,5.815598,2,9.863946,2,10797006.623500,2,450117.277567,1,17,22.368421,10,20.833333,alpha_v1.1_19m,,false,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,2.910000,2.910000,2.660000,2.710000,0.000000,-8.591065,-6.872852,2024-05-01T09:30:00-04:00,0.000000,-5.910653,false,,0.000000,,,,,,
2024-05-01,CSWC,BBG001S5Q7P4,true,12,12,25.820000,25.660000,285995.576667,4357094.636000,1031537866.760000,23.255619,4,-0.036794,0,-0.004057,0,,,10.637281,4,-2.941008,0,,,-0.619675,0,-0.211562,0,45.454545,0,0,0,0.397092,0,34.375000,0,44.736842,0,,,1.482350,0,0.580945,0,4357094.636000,0,285995.576667,1,9,11.842105,8,16.666667,alpha_v1.1_19m,,false,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,25.840000,26.340000,25.840000,26.165000,1.934985,0.000000,1.257740,2024-05-01T15:02:00-04:00,0.464396,0.421827,false,,0.000000,,,,,,
