orb_version,trading_date,variant,cohort,net_realized_return_pct,gross_realized_return_pct,equity_index
orb_v1.0,2024-09-16,cash,long_only,0.0,0.0,1.0
orb_v1.0,2024-09-16,cash,long_plus_short,0.0,0.0,1.0
orb_v1.0,2024-09-16,paper,long_only,-13.06188387485715,-9.47621657142858,0.8693811612514285
orb_v1.0,2024-09-16,paper,long_plus_short,-18.381511234857157,-13.845416571428585,0.8161848876514284
orb_v1.0,2024-09-17,cash,long_only,-1.2020538084857124,-0.9989000285714266,0.9879794619151429
orb_v1.0,2024-09-17,cash,long_plus_short,-1.2020538084857124,-0.9989000285714266,0.9879794619151429
orb_v1.0,2024-09-17,paper,long_only,-9.124749656857183,-5.921925942857184,0.7900523067233577
orb_v1.0,2024-09-17,paper,long_plus_short,-8.335808828097143,-5.034447228571428,0.7481492757329858
orb_v1.0,2024-09-18,cash,long_only,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-18,cash,long_plus_short,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-18,paper,long_only,-9.414040039851411,-5.766290114285696,0.7156764662326511
orb_v1.0,2024-09-18,paper,long_plus_short,-12.228620307199991,-7.444187428571418,0.6566609414725323
orb_v1.0,2024-09-19,cash,long_only,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-19,cash,long_plus_short,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-19,paper,long_only,-6.109545080845798,-3.354313942857227,0.6719518898951631
orb_v1.0,2024-09-19,paper,long_plus_short,-8.60668500028577,-6.395320857142911,0.6001442027200805
orb_v1.0,2024-09-20,cash,long_only,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-20,cash,long_plus_short,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-20,paper,long_only,-3.176396388000011,-2.540868000000011,0.6506080343354352
orb_v1.0,2024-09-20,paper,long_plus_short,20.399923560000015,21.36540000000002,0.7225731613247485
orb_v1.0,2024-09-23,cash,long_only,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-23,cash,long_plus_short,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-23,paper,long_only,-6.400726021188594,-3.6390343085714503,0.6089643965857834
orb_v1.0,2024-09-23,paper,long_plus_short,-5.896445716262867,-2.3970920800000095,0.6799670271069501
orb_v1.0,2024-09-24,cash,long_only,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-24,cash,long_plus_short,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-24,paper,long_only,-5.471635511685711,-3.1485854571428544,0.5756440844086731
orb_v1.0,2024-09-24,paper,long_plus_short,-7.134298391685705,-4.148528314285706,0.6314561504280659
orb_v1.0,2024-09-25,cash,long_only,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-25,cash,long_plus_short,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-25,paper,long_only,-7.6455951024000015,-6.332817600000003,0.5316326684838683
orb_v1.0,2024-09-25,paper,long_plus_short,-16.38934990960003,-12.673909600000027,0.5279645924087198
orb_v1.0,2024-09-26,cash,long_only,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-26,cash,long_plus_short,0.0,0.0,0.9879794619151429
orb_v1.0,2024-09-26,paper,long_only,8.64847266640003,10.221065714285745,0.5776107745033487
orb_v1.0,2024-09-26,paper,long_plus_short,-13.407767263999974,-8.955103314285683,0.4571763286222326
orb_v1.0,2024-09-27,cash,long_only,-1.2896601600000133,-1.0952000000000135,0.9752378844058407
orb_v1.0,2024-09-27,cash,long_plus_short,-1.2896601600000133,-1.0952000000000135,0.9752378844058407
orb_v1.0,2024-09-27,paper,long_only,-6.756619769828608,-4.091211885714322,0.5385838107205954
orb_v1.0,2024-09-27,paper,long_plus_short,-8.456473165028605,-5.22109988571432,0.41851533507543054
orb_v1.0,2024-09-30,cash,long_only,0.0,0.0,0.9752378844058407
orb_v1.0,2024-09-30,cash,long_plus_short,0.0,0.0,0.9752378844058407
orb_v1.0,2024-09-30,paper,long_only,-3.2958023207142926,-1.99302214285715,0.5208331529878745
orb_v1.0,2024-09-30,paper,long_plus_short,-9.587108710314295,-6.1575317428571505,0.37839181493241286
