trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,sector_strength_raw,sector_strength_score,stock_leadership_vs_sector_raw,stock_leadership_vs_sector_score,broad_market_regime_alignment_raw,broad_market_regime_alignment_score,catalyst_quality_raw,catalyst_quality_score,catalyst_verification_confidence_raw,catalyst_verification_confidence_score,catalyst_freshness_relevance_raw,catalyst_freshness_relevance_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,score_pct_reachable,score_pct_fixed120,reachable_metric_count,unavailable_metrics,benchmark_symbol,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,news_article_count,news_fetch_status,admitted_event_count,best_event_type,source_tier,verification_status,freshest_event_age_minutes,sentiment,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,cost_model_id,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_v1.0_net_realized_return_pct,execution_policy_v1.0_cost_bps,execution_policy_v1.0_net_capture_ratio,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct,execution_policy_atr_v1.0_net_realized_return_pct,execution_policy_atr_v1.0_cost_bps,execution_policy_atr_v1.0_net_capture_ratio
2024-03-01,AMRX,BBG00462PGH9,false,46,175,5.520000,6.062200,7317814.045833,7378440.389500,851156179.200000,671.568125,4,-0.048101,0,0.089759,4,-0.050756,0,-13.214164,0,0.697597,2,1.201290,3,9.822464,4,-12.067949,0,40.804598,0,1,1,14.314679,4,48.162111,0,58.747740,2,40.223937,0,0.117374,0,9.656005,2,0.049085,1,EARNINGS,4,SINGLE_SOURCE,1,,0,4.703546,2,59.782609,4,7378440.389500,1,7317814.045833,4,43,43.000000,43.000000,35.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,22,45.833333,alpha_v1.3_25m,,false,2,AVAILABLE,2,EARNINGS,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,6.120000,6.150000,5.010000,5.460000,0.490196,-18.137255,-10.784314,2024-03-01T09:30:00-05:00,0.490196,-11.192810,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,APG,BBG00HVV7984,false,40,65,35.050000,35.330000,5558331.843333,42774442.549000,8264299089.699999,813.118391,4,-0.010426,0,0.000746,0,0.005279,0,1.197230,3,0.307240,1,0.126756,0,0.798859,0,0.188703,0,43.750000,0,2,2,1.650766,3,52.941176,1,57.823129,2,51.526718,1,0.205089,0,0.544685,0,0.049085,1,EARNINGS,4,SINGLE_SOURCE,1,,0,2.448033,1,3.880171,1,42774442.549000,3,5558331.843333,4,32,32.000000,32.000000,26.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,13,27.083333,alpha_v1.3_25m,,false,1,AVAILABLE,1,EARNINGS,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,35.270000,37.430000,35.270000,37.390000,6.124185,0.000000,6.010774,2024-03-01T15:56:00-05:00,2.991211,2.962858,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,APLD,BBG001SK4K76,true,12,26,4.150000,4.210000,162517.496367,16172507.479750,441146016.750000,1.548123,3,,,,,,,,,,,,,1.445783,1,0.775254,2,32.000000,0,0,0,0.346702,0,,,,,,,0.236346,0,1.160352,0,0.049085,1,OTHER,1,SINGLE_SOURCE,1,,0,9.304303,3,2.891566,0,16172507.479750,2,162517.496367,0,14,14.000000,14.000000,11.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,6,12.500000,alpha_v1.3_25m,,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,4.100000,4.210000,3.960000,4.200000,2.682927,-3.414634,2.439024,2024-03-01T15:59:00-05:00,0.853659,-2.900000,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,ARLO,BBG00K88DTJ1,true,14,19,10.410000,10.640000,185680.124933,8909049.834000,979111956.630000,12.909824,4,0.045046,2,,,,,-6.879580,0,,,,,2.209414,2,2.709625,4,44.444444,0,0,0,2.816244,4,66.694491,3,,,,,0.569377,1,1.590952,0,0.049085,1,,0,UNVERIFIED,0,,0,4.147797,2,11.142171,3,8909049.834000,1,185680.124933,0,27,27.000000,27.000000,22.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,16,33.333333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,10.650000,12.110000,10.625000,11.810000,13.708920,-0.234742,10.892019,2024-03-01T15:39:00-05:00,6.478873,3.568075,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,AU,0001973832,true,13,36,18.610000,18.870000,456097.700000,32591371.709500,7810310716.620000,0.739432,0,,,,,,,,,,,,,1.397098,1,0.283323,1,51.428571,1,0,0,1.013183,1,,,,,,,,,,,0.049085,1,,0,UNVERIFIED,0,,0,3.651071,1,2.740462,0,32591371.709500,3,456097.700000,1,10,10.000000,10.000000,8.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,4,8.333333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,18.870000,19.540000,18.690000,19.500000,3.550609,-0.953895,3.338633,2024-03-01T14:01:00-05:00,0.105988,-0.953895,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,BBAI,BBG00Z4HKRY1,false,59,171,3.360000,3.410000,2468009.450867,24211992.842000,523579728.000000,1.666171,3,-0.046996,0,-0.040972,0,0.039822,2,-5.457468,0,-3.443346,0,0.271775,1,1.488095,1,1.361447,3,33.529412,0,1,1,0.666286,0,52.979738,1,48.773909,0,55.001250,2,0.236346,0,1.202665,0,0.049085,1,EARNINGS,4,SINGLE_SOURCE,1,,0,10.320791,4,7.142857,2,24211992.842000,2,2468009.450867,3,31,31.000000,31.000000,25.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,11,22.916667,alpha_v1.3_25m,,false,4,AVAILABLE,4,EARNINGS,OTHER,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,true,5,3.380000,4.180000,3.140000,3.460000,23.668639,-7.100592,2.366864,2024-03-01T15:16:00-05:00,0.000000,-2.976331,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,BE,BBG001T53509,true,14,24,8.770000,8.820000,169681.183367,66519021.437500,2100713180.000000,0.191108,0,0.008079,0,,,,,7.135134,4,,,,,0.570125,0,0.227519,0,52.173913,1,1,1,0.176094,0,50.000000,1,,,,,0.569377,1,-0.048336,0,0.049085,1,,0,UNVERIFIED,0,,0,9.030461,3,1.026226,0,66519021.437500,4,169681.183367,0,16,16.000000,16.000000,13.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,6,12.500000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,8.760000,9.140000,8.415000,9.085000,4.337900,-3.938356,3.710046,2024-03-01T14:24:00-05:00,0.114155,-2.996575,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,BETS,0001543268,false,49,145,3.450000,3.250000,789957.221300,19520198.205000,728846327.250000,0.211260,0,0.055674,4,0.133224,4,0.019044,1,8.068996,4,5.421876,4,-1.762863,0,-5.797101,0,0.084027,0,38.194444,0,2,2,0.417286,0,56.352765,2,59.812802,2,51.622850,1,,,,,0.049085,1,GUIDANCE,4,SINGLE_SOURCE,1,,0,22.401449,4,8.405797,2,19520198.205000,2,789957.221300,2,40,40.000000,40.000000,33.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,19,39.583333,alpha_v1.3_25m,43.750000,false,4,AVAILABLE,4,GUIDANCE,HIGH_QUALITY_WIRE,SINGLE_SOURCE,,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,3.350000,3.380000,3.080000,3.260000,0.895522,-8.059701,-2.686567,2024-03-01T11:16:00-05:00,0.000000,-7.435821,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,BHVN,0001935979,true,14,27,48.140000,48.050000,2259125.680000,38936196.868500,3855221663.740000,254.554481,4,0.015454,1,,,,,-19.215510,0,,,,,-0.186955,0,3.600586,4,53.846154,1,0,0,1.120743,1,66.666667,3,,,,,0.117374,0,-0.353413,0,0.049085,1,,0,UNVERIFIED,0,,0,5.227773,2,5.484005,1,38936196.868500,3,2259125.680000,3,24,24.000000,24.000000,20.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,11,22.916667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,47.480000,51.780000,46.250000,49.540000,9.056445,-2.590564,4.338669,2024-03-01T10:15:00-05:00,2.990733,1.516428,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-01,BITF,BBG00PGMZVM7,false,52,153,2.850000,2.940000,1526556.992900,93351878.797000,794278370.250000,0.687131,0,-0.049359,0,-0.061383,0,0.014195,0,3.633658,4,-5.305608,0,0.327829,1,3.157895,2,-1.221807,0,27.631579,0,1,1,0.518768,0,28.753541,0,23.218391,0,53.099814,1,,,,,0.049085,1,EARNINGS,4,SINGLE_SOURCE,1,135.000000,3,14.085213,4,5.263158,1,93351878.797000,4,1526556.992900,3,30,30.000000,30.000000,25.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,8,16.666667,alpha_v1.3_25m,,false,6,AVAILABLE,6,EARNINGS,OTHER,SINGLE_SOURCE,135.000000,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,2.900000,2.930000,2.760000,2.925000,1.034483,-4.827586,0.862069,2024-03-01T11:16:00-05:00,0.000000,-0.862069,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
